key,value,label,emerlabel,version,sent1,num
topic0,1.334848,mobile data; wrong tap; single video,0,11.47.1,1: please_fix_this this be like the main function of_the app and it's break i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>2: i've go as far as to reinstall the_app and restart my_device but the problem still persist;<br>3: i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>,1
topic0,1.635492,say error; home page; internet connection,0,12.06,1: can't_watch_anything all video when click_on jump to an_ad that doesn't even load then jump to the video which doesn't load and_then an_error say sorry something_go_wrong_tap to_retry;<br>2: whenever_i open a_video and ad load up then it go straight to the video and_then say_that something_go_wrong try_again;<br>3: new_update break the_app can't_play_any_video as_it just say there_be an_error while load video;<br>,2
topic0,1.824015,video quality; single video; double tap,0,12.07,1: ever_since_the update there's be more_bug i_love_youtube but_when_i go_to look_at video it_doesn't_even show anyone's post it_just show the channel so can youtube please_fix_this tnx;<br>2: also i personally don't like the_new video ui or the computer like skip ad button;<br>3: new issue include glitch when rotate the_screen ad get stick and more frequent crash;<br>,3
topic1,1.500884,third party; watch video; wifi connection,0,11.47.1,1: could not remove the account after sign_in once though i sign out;<br>2: i_can sign_in to my friend's account simply by choose_the account without password after they have sign_in once and sign out;<br>3: worst of all google be attempt to force user of third_party youtube apps to_use their own crappy app by indirectly threaten the removal of third_party_apps by modify the term of service which force such third_party_apps to remove certain feature;<br>,1
topic1,1.569064,save video; home page; watch video,0,12.06,1: the_app be in need of a major redesign and i_would like to remind simple be the_best and with add more feature it slow my_iphone <digit> plus down;<br>2: i swipe up the_app and i lose my channel and every person i subscribe_to just disappear and i_have to create a_new channel;<br>3: also try the youtube_red get a free month now <digit> week in i aparently dont have it anymore and i keep get the try free pop_up which then say i_have it but i still cant save any_video to_watch when im_not on wifi to save data;<br>,2
topic1,1.877592,third party; save video; watch video,0,12.07,1: it's be <digit> day since i've be_able_to_watch any youtube video i've restart_my_phone and redownloaded the_app keep_say_something_go wrong_tap_to_retry and never_load so_frustrate make an update for christ sake;<br>2: for the_past <digit> day youtube won't_even play the video instead it_say_something go_wrong;<br>3: i still have_the_same problem as before every_time_i go_on a_video it always_say_something go_wrong just fix_this already;<br>,3
topic2,1.283783,internet connection; cant play; wifi connection,0,11.47.1,1: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>2: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>3: not_sure if_it's a_glitch but video can't seem_to play_at_all or freeze midway through load;<br>,1
topic2,2.068672,say error; watch video; home page,0,12.06,1: so basically us army's have work hard on stream spring day not today but youtube decide to be funny and delete 800k of our comment and take about 700k 1m of our view on spring day and throw it in_the trash;<br>2: that seem_to block everything except the annoy upgrade to red advertisement;<br>3: to solve this you have to_go into the apps own setting and disable everything;<br>,2
topic2,1.877592,watch video; third party; save video,0,12.07,1: i_cant watch_any_video this notification always pop_up go_wrong_tap_to retry i_have a_good connection and uninstalled the_app but nothing work;<br>2: i_haven't update in awhile so i_don't_know when the_new layout happen but it's_really_annoy that they get_rid_of the sidebar now i_have to_go to a_new page to_see my_subscription and the_app have be slower to load and switch between page since the update;<br>3: video start play and won't pause or minimise the orientation be stick in landscape whilst in_the portrait orientation of my_phone and vice versa i_have experience similar issue on_my tablet so it can't be the phone;<br>,3
