key,value,label,emerlabel,version,sent1,num
topic0,1.283783,internet connection; cant play; wifi connection,0,11.47.1,1: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>2: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>3: not_sure if_it's a_glitch but video can't seem_to play_at_all or freeze midway through load;<br>,1
topic0,1.820026,say error; watch video; internet connection,0,12.06,1: whenever_i open a_video and ad load up then it go straight to the video and_then say_that something_go_wrong try_again;<br>2: can't_watch_anything all video when click_on jump to an_ad that doesn't even load then jump to the video which doesn't load and_then an_error say sorry something_go_wrong_tap to_retry;<br>3: i_love_youtube but whenever_i click_on_a video it say_error tap again or try later everything work even the_comment and all that except the video;<br>,2
topic0,1.906373,third party; video quality; double tap,0,12.07,1: new issue include glitch when rotate the_screen ad get stick and more frequent crash;<br>2: can't view video as the_ad won't_play so it's stick on the_begin of_the add even_though it's fully load;<br>3: secondly can_you_please add a page for newly post video so people can get lot_of view even_if they aren't a popular channel;<br>,3
topic1,1.451487,mobile data; say error; single video,0,11.47.1,1: after this_happen a_few_time i get an_error_message that something_go_wrong if possible please_fix_this thank_you;<br>2: so i_want_to report him but it_say could not get report form try_again_later so i wait and wait and i wait_for so long and i still couldn't get the form;<br>3: youtube wtf u update before the update my_youtube be work_perfectly until u go f king update the_app;<br>,1
topic1,1.569064,save video; home page; watch video,0,12.06,1: also try the youtube_red get a free month now <digit> week in i aparently dont have it anymore and i keep get the try free pop_up which then say i_have it but i still cant save any_video to_watch when im_not on wifi to save data;<br>2: reduce the quality of video should_be an_option when not connect_to wifi thus not use as much data allow user to_watch more video;<br>3: since the_last_update for youtube on_my_ipad yesterday <digit> <digit> <digit> the youtube_app do_not_play video_at_all on the my_ipad air_2;<br>,2
topic1,1.522641,save video; single video; third party,0,12.07,1: the circle video time adjuster too small and way too hard_to grab and move when_try_to skip forward_or back in a_video nearly impossible;<br>2: i understand this be so user have time to_double_tap the video to skip back 10_second but this should_be an_option;<br>3: every_time_i go_to_watch a_video it_say that video be unavailable and to try_again;<br>,3
topic2,1.500884,third party; watch video; wifi connection,0,11.47.1,1: please_fix_this this be like the main function of_the app and it's break i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>2: i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>3: worst of all google be attempt to force user of third_party youtube apps to_use their own crappy app by indirectly threaten the removal of third_party_apps by modify the term of service which force such third_party_apps to remove certain feature;<br>,1
topic2,1.827433,wifi connection; home page; watch video,0,12.06,1: so basically us army's have work hard on stream spring day not today but youtube decide to be funny and delete 800k of our comment and take about 700k 1m of our view on spring day and throw it in_the trash;<br>2: who on earth think that remove people actually subscription from the_app be a_good idea;<br>3: the_app be in need of a major redesign and i_would like to remind simple be the_best and with add more feature it slow my_iphone <digit> plus down;<br>,2
topic2,1.877592,watch video; third party; save video,0,12.07,1: i_haven't update in awhile so i_don't_know when the_new layout happen but it's_really_annoy that they get_rid_of the sidebar now i_have to_go to a_new page to_see my_subscription and the_app have be slower to load and switch between page since the update;<br>2: give us an_option open link in_the browser;<br>3: somehow these day when_i_want_to watch_video i_click it and it start load a_while and show video_cannot watch and i must uninstall the_app and download it_again pls_fix_it happen a_lot time in my_ipad and phone;<br>,3
