key,value,label,emerlabel,version,sent1,num
topic0,1.334848,mobile data; wrong tap; single video,0,11.47.1,1: after this_happen a_few_time i get an_error_message that something_go_wrong if possible please_fix_this thank_you update this_happen wherever i access youtube from mobile even when not in app update again the video play on wifi but not on 3g mobile_data;<br>2: after this_happen a_few_time i get an_error_message that something_go_wrong if possible please_fix_this thank_you;<br>3: the_app itself be also so_laggy and glitchy that it be bind to crash within minute upon startup and this_happen on all device regardless of brand;<br>,1
topic0,1.623629,say error; home page; cant play,0,12.06,1: can't_watch_anything all video when click_on jump to an_ad that doesn't even load then jump to the video which doesn't load and_then an_error say sorry something_go_wrong_tap to_retry;<br>2: whenever_i open a_video and ad load up then it go straight to the video and_then say_that something_go_wrong try_again;<br>3: new_update i_can't load video it_keep_say something_go_wrong_tap again and when_i_do it_say the_same_thing;<br>,2
topic0,1.522641,single video; save video; third party,0,12.07,1: it_didn't even let_me have youtube_red when_i place the right password;<br>2: when research with multiple tab open it's far easier to have youtube link open_in the browser;<br>3: for the_past two update i_haven't_be_able to_watch any_video constantly meet with the something_go_wrong message try uninstalling and reinstall;<br>,3
topic1,1.466885,third party; wifi connection; home page,0,11.47.1,1: please_fix_this this be like the main function of_the app and it's break i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>2: i'm currently use vpn but it shouldn't_be a problem because the connection_be there;<br>3: use to have an_option to remove account after sign_in;<br>,1
topic1,1.409075,save video; home page; wifi connection,0,12.06,1: i swipe up the_app and i lose my channel and every person i subscribe_to just disappear and i_have to create a_new channel;<br>2: reduce the quality of video should_be an_option when not connect_to wifi thus not use as much data allow user to_watch more video;<br>3: the_app be in need of a major redesign and i_would like to remind simple be the_best and with add more feature it slow my_iphone <digit> plus down;<br>,2
topic1,1.877592,third party; watch video; save video,0,12.07,1: and stop pretend that you have give us that option press the icon in_the top right as instruct in_the application release note leave the video play in_the background how be that a_good outcome;<br>2: video start play and won't pause or minimise the orientation be stick in landscape whilst in_the portrait orientation of my_phone and vice versa i_have experience similar issue on_my tablet so it can't be the phone;<br>3: two when there_be an_ad mid video the_ad will play and once the_ad be finish the_rest of_the video do_not load and i_have to force close the_app and restart all over again;<br>,3
topic2,1.200640,home page; internet connection; cant play,0,11.47.1,1: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>2: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>3: not_sure if_it's a_glitch but video can't seem_to play_at_all or freeze midway through load;<br>,1
topic2,2.068672,watch video; say error; home page,0,12.06,1: so basically us army's have work hard on stream spring day not today but youtube decide to be funny and delete 800k of our comment and take about 700k 1m of our view on spring day and throw it in_the trash;<br>2: that seem_to block everything except the annoy upgrade to red advertisement;<br>3: to solve this you have to_go into the apps own setting and disable everything;<br>,2
topic2,2.259819,watch video; video quality; third party,0,12.07,1: i_cant watch_any_video this notification always pop_up go_wrong_tap_to retry i_have a_good connection and uninstalled the_app but nothing work;<br>2: somehow these day when_i_want_to watch_video i_click it and it start load a_while and show video_cannot watch and i must uninstall the_app and download it_again pls_fix_it happen a_lot time in my_ipad and phone;<br>3: every_time you fix something slightly you make something else <digit> time worse;<br>,3
