key,value,label,emerlabel,version,sent1,num
topic0,1.756489,wrong tap; wifi connection; say error,0,11.47.1,1: this be frustrate my_youtube keep_show_something_go wrong_tap to reply whenever_i play the video;<br>2: video aren't play try skip forward refresh the_app but it's constantly sick on <digit>;<br>3: <digit> <digit> <digit> <digit> just unable_to_play video;<br>,1
topic0,1.635492,home page; say error; internet connection,0,12.06,1: every_time you_get to the_home tab video show_up for a_bite then when_you scroll_down a_video every_video on the page disappear this have be happen for the_last <digit> update;<br>2: every ad i get be a <digit> second ad that i_can't skip;<br>3: i keep get a message say_something_go_wrong whenever_i try_to_play a_video;<br>,2
topic0,1.877592,third party; watch video; save video,0,12.07,1: can't view video as the_ad won't_play so it's stick on the_begin of_the add even_though it's fully load;<br>2: although this update have useful careless for_me update i_have notice that tap a_video for get the ui have get way slower the_same for tap option on video;<br>3: two when there_be an_ad mid video the_ad will play and once the_ad be finish the_rest of_the video do_not load and i_have to force close the_app and restart all over again;<br>,3
topic1,1.310573,mobile data; home page; third party,0,11.47.1,1: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>2: i suddenly cannot seem_to be_able_to_watch video_at_all the video will load and_then the load ring will just hang for a_few second_and then move again;<br>3: not_sure if_it's a_glitch but video can't seem_to play_at_all or freeze midway through load;<br>,1
topic1,2.113791,say error; save video; cant play,save video; say error; watch video,12.06,1: also try the youtube_red get a free month now <digit> week in i aparently dont have it anymore and i keep get the try free pop_up which then say i_have it but i still cant save any_video to_watch when im_not on wifi to save data;<br>2: change quality be only an_option when connect_to wifi at this stage and i_think_it should_be revise;<br>3: wifi should_be the hd connection full stop so why_do it have to be the_best while im away from home;<br>,2
topic1,1.522641,single video; save video; third party,0,12.07,1: youtube have be work for a long_time now when_i click to_watch_a video it come_up_with something_go_wrong try_again then i_try again and it come_up_with the_same_thing;<br>2: useless no video work every_video just say_something_go_wrong;<br>3: the_app be good until they decide that they want_to act smart now see comment need_to minimize the video it's plain retard and all_the annoy tag fly in to distract u when u watch_a_video now thats a step back;<br>,3
topic2,1.500884,third party; watch video; wifi connection,video quality; third party; keep show,11.47.1,1: something_go_wrong_tap to_retry how_many ton of feedback but no fix;<br>2: waste month wait_for fix uninstalling and move back_to chrome;<br>3: please_fix your problem or if not yours tell io apple to fix their problem;<br>,1
topic2,1.827433,watch video; home page; wifi connection,0,12.06,1: so basically us army's have work hard on stream spring day not today but youtube decide to be funny and delete 800k of our comment and take about 700k 1m of our view on spring day and throw it in_the trash;<br>2: there's too_many add i refuse_to use it for that reason;<br>3: won't be bother use the_app until you_start give a damn about your audience again;<br>,2
topic2,2.636598,watch video; video quality; keep show,video quality; third party; keep show,12.07,1: something_go_wrong_tap to_retry how_many ton of feedback but no fix;<br>2: waste month wait_for fix uninstalling and move back_to chrome;<br>3: please_fix your problem or if not yours tell io apple to fix their problem;<br>,3
